sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH
6590STDY10735088	PD53366a	PD53366a	NA	EGAS00001005663	Homo sapiens	ac51bfc6f217a232b92c8dce7d7cb284	41760	3	1	33	50889391	36930216	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#33.cram	/seq/illumina/runs/41/41760/lane3/plex33/41760_3#33.cram	/seq/illumina/runs/41/41760/lane3/plex33/41760_3#33.substitution_metrics.txt	0.65
6590STDY10735088	PD53366a	PD53366a	NA	EGAS00001005663	Homo sapiens	b7a74bfaf2d5588b93aafb3cea954203	41760	4	1	33	50889391	36162100	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#33.cram	/seq/illumina/runs/41/41760/lane4/plex33/41760_4#33.cram	/seq/illumina/runs/41/41760/lane4/plex33/41760_4#33.substitution_metrics.txt	0.65
6590STDY10735123	PD53366b	PD53366b	NA	EGAS00001005663	Homo sapiens	3e00b2bd0bc24ac534fabf463e199e0d	41760	1	1	99	50889407	64493788	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#99.cram	/seq/illumina/runs/41/41760/lane1/plex99/41760_1#99.cram	/seq/illumina/runs/41/41760/lane1/plex99/41760_1#99.substitution_metrics.txt	0.83
6590STDY10735123	PD53366b	PD53366b	NA	EGAS00001005663	Homo sapiens	16d42d6d1fd6d3555b75a42512d54144	41760	2	1	99	50889407	64227564	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#99.cram	/seq/illumina/runs/41/41760/lane2/plex99/41760_2#99.cram	/seq/illumina/runs/41/41760/lane2/plex99/41760_2#99.substitution_metrics.txt	0.82
6590STDY10735123	PD53366b	PD53366b	NA	EGAS00001005663	Homo sapiens	ce2068c38c6d5e1ae5fc55046c67cb71	41760	3	1	99	50889407	62042042	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#99.cram	/seq/illumina/runs/41/41760/lane3/plex99/41760_3#99.cram	/seq/illumina/runs/41/41760/lane3/plex99/41760_3#99.substitution_metrics.txt	0.84
6590STDY10735123	PD53366b	PD53366b	NA	EGAS00001005663	Homo sapiens	fbcd7c3378a5cf868462a2356e2149ab	41760	4	1	99	50889407	60891830	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#99.cram	/seq/illumina/runs/41/41760/lane4/plex99/41760_4#99.cram	/seq/illumina/runs/41/41760/lane4/plex99/41760_4#99.substitution_metrics.txt	0.85
6590STDY10735089	PD53367a	PD53367a	NA	EGAS00001005663	Homo sapiens	4710db1701db8cd4cba6971a3cfd7bd1	41760	1	1	35	50889403	38471178	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#35.cram	/seq/illumina/runs/41/41760/lane1/plex35/41760_1#35.cram	/seq/illumina/runs/41/41760/lane1/plex35/41760_1#35.substitution_metrics.txt	0.68
6590STDY10735089	PD53367a	PD53367a	NA	EGAS00001005663	Homo sapiens	1d830f4bc98472181b5e1bf52f98d172	41760	2	1	35	50889403	38484132	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#35.cram	/seq/illumina/runs/41/41760/lane2/plex35/41760_2#35.cram	/seq/illumina/runs/41/41760/lane2/plex35/41760_2#35.substitution_metrics.txt	0.67
6590STDY10735089	PD53367a	PD53367a	NA	EGAS00001005663	Homo sapiens	58b6c7492ef2a8c3b23cde56a5b359a2	41760	3	1	35	50889403	37068850	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#35.cram	/seq/illumina/runs/41/41760/lane3/plex35/41760_3#35.cram	/seq/illumina/runs/41/41760/lane3/plex35/41760_3#35.substitution_metrics.txt	0.7
6590STDY10735089	PD53367a	PD53367a	NA	EGAS00001005663	Homo sapiens	ceb6db241730653367ee5312f3478eba	41760	4	1	35	50889403	36191282	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#35.cram	/seq/illumina/runs/41/41760/lane4/plex35/41760_4#35.cram	/seq/illumina/runs/41/41760/lane4/plex35/41760_4#35.substitution_metrics.txt	0.7
6590STDY10735124	PD53367b	PD53367b	NA	EGAS00001005663	Homo sapiens	3e47d8aa01a8d8923dc622acf72e8aad	41760	1	1	101	50889419	71383966	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#101.cram	/seq/illumina/runs/41/41760/lane1/plex101/41760_1#101.cram	/seq/illumina/runs/41/41760/lane1/plex101/41760_1#101.substitution_metrics.txt	0.8
6590STDY10735124	PD53367b	PD53367b	NA	EGAS00001005663	Homo sapiens	001d94bfdfa6db14ecd62804ccc1851e	41760	2	1	101	50889419	71264244	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#101.cram	/seq/illumina/runs/41/41760/lane2/plex101/41760_2#101.cram	/seq/illumina/runs/41/41760/lane2/plex101/41760_2#101.substitution_metrics.txt	0.79
6590STDY10735124	PD53367b	PD53367b	NA	EGAS00001005663	Homo sapiens	ecae69b42676613000347d49c62e2f4e	41760	3	1	101	50889419	69727290	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#101.cram	/seq/illumina/runs/41/41760/lane3/plex101/41760_3#101.cram	/seq/illumina/runs/41/41760/lane3/plex101/41760_3#101.substitution_metrics.txt	0.81
6590STDY10735124	PD53367b	PD53367b	NA	EGAS00001005663	Homo sapiens	322b5422075ca007619e758e333ace64	41760	4	1	101	50889419	68951790	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#101.cram	/seq/illumina/runs/41/41760/lane4/plex101/41760_4#101.cram	/seq/illumina/runs/41/41760/lane4/plex101/41760_4#101.substitution_metrics.txt	0.81
6590STDY10735090	PD53368a	PD53368a	NA	EGAS00001005663	Homo sapiens	a24d2f0d1996a74f5fd9af106175a556	41760	1	1	37	50889415	49834432	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#37.cram	/seq/illumina/runs/41/41760/lane1/plex37/41760_1#37.cram	/seq/illumina/runs/41/41760/lane1/plex37/41760_1#37.substitution_metrics.txt	0.68
6590STDY10735090	PD53368a	PD53368a	NA	EGAS00001005663	Homo sapiens	80674b6da14a35238ccdfd1ccb6b4581	41760	2	1	37	50889415	49689154	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_2#37.cram	/seq/illumina/runs/41/41760/lane2/plex37/41760_2#37.cram	/seq/illumina/runs/41/41760/lane2/plex37/41760_2#37.substitution_metrics.txt	0.67
6590STDY10735090	PD53368a	PD53368a	NA	EGAS00001005663	Homo sapiens	e258625c020390a2d54162b7111f2d96	41760	3	1	37	50889415	48014054	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_3#37.cram	/seq/illumina/runs/41/41760/lane3/plex37/41760_3#37.cram	/seq/illumina/runs/41/41760/lane3/plex37/41760_3#37.substitution_metrics.txt	0.69
6590STDY10735090	PD53368a	PD53368a	NA	EGAS00001005663	Homo sapiens	2546f05a405d2fe48d6d5b2b5224e394	41760	4	1	37	50889415	47157440	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_4#37.cram	/seq/illumina/runs/41/41760/lane4/plex37/41760_4#37.cram	/seq/illumina/runs/41/41760/lane4/plex37/41760_4#37.substitution_metrics.txt	0.69
6590STDY10735125	PD53368b	PD53368b	NA	EGAS00001005663	Homo sapiens	b37b1061f16bf7d858c7dba4721191d9	41760	1	1	103	50889431	66248898	6633	PDX models from Latin America_WES 	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	41760_1#103.cram	/seq/illumina/runs/41/41760/lane1/plex103/41760_1#103.cram	/seq/illumina/runs/41/41760/lane1/plex103/41760_1#103.substitution_metrics.txt	0.69
