sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD53359a	20	80	31+	true	50337604	89.4399	98.1500	93.3600	85.9700	77.5100	68.7700	60.3300	52.3800	45.1500	38.6700	32.9800	28.0400	23.7700	20.1100	16.9900	14.3300
PD53359b	20	80	41+	true	50337604	100.1026	99	96.5000	91.6700	85.2400	78.0900	70.7500	63.3500	56.0400	48.9400	42.2500	36.1100	30.5600	25.6500	21.3800	17.7400
PD53359c	20	80	41+	true	50337604	100.9792	98.4900	94.6700	88.7300	81.5600	73.9000	66.3400	59.0900	52.2700	45.9400	40.1800	34.9700	30.3100	26.1800	22.5500	19.3800
PD53360a	20	80	41+	true	50337604	96.0298	98.8500	95.4300	89.5400	82.3200	74.6200	66.8400	59.1100	51.6400	44.5700	38.0700	32.2700	27.1500	22.7300	18.9600	15.7700
PD53361a	20	80	41+	true	50337604	99.2749	98.8400	95.5700	89.8700	82.7200	75.0400	67.3200	59.7800	52.5200	45.7200	39.4800	33.8500	28.8900	24.5500	20.7700	17.5300
PD53361b	20	80	51+	true	50337604	117.7428	99.2900	97.5200	94.1200	89.2100	83.3700	77.1100	70.7700	64.4700	58.2600	52.2200	46.4300	40.9600	35.8600	31.2000	27.0200
PD53362a	20	80	41+	true	50337604	101.4579	99	96.1200	90.8900	84.2500	77.0800	69.7500	62.4400	55.2700	48.4200	42.0400	36.2100	30.9800	26.3400	22.2800	18.7700
PD53362b	20	80	41+	true	50337604	93.5116	98.9500	96.0900	90.6700	83.3900	75.2900	67.1400	59.1800	51.5300	44.3500	37.7200	31.7500	26.4700	21.8900	18	14.7000
PD53363a	20	80	41+	true	50337604	96.5873	98.8900	95.9800	90.6100	83.6600	76.1300	68.4000	60.6400	53.0800	45.8800	39.2100	33.2000	27.8500	23.2100	19.2400	15.8800
PD53363b	20	80	61+	true	50337604	140.4285	99.4000	98.3400	96.2100	92.8700	88.5700	83.7200	78.5800	73.3500	68.0700	62.8000	57.5800	52.4300	47.4400	42.6500	38.1300
PD53364a	20	80	31+	true	50337604	85.7387	98.0500	92.9500	85.1200	76.1700	67.0400	58.2900	50.1400	42.7300	36.1600	30.4100	25.4500	21.2300	17.6900	14.7100	12.2400
PD53364b	20	80	51+	true	50337604	109.2071	99.1100	96.9700	92.7900	87.1600	80.8200	74.2300	67.5200	60.7500	54.1000	47.6900	41.6200	35.9900	30.9100	26.3700	22.3800
PD53364c	20	80	61+	true	50337604	136.1597	99.2800	97.7900	94.8600	90.6600	85.6500	80.1900	74.5200	68.8200	63.1900	57.7200	52.4500	47.4500	42.7700	38.4200	34.4000
PD53365a	20	80	41+	true	50337604	109.9530	98.8600	96.2300	91.5200	85.3700	78.4500	71.3000	64.2500	57.5400	51.2100	45.3000	39.8600	34.9000	30.4100	26.4100	22.8600
PD53365b	20	80	51+	true	50337604	108.7917	99.1200	97.1200	93.1700	87.5900	81.1200	74.3400	67.5100	60.7100	54.0200	47.5900	41.5100	35.8900	30.7900	26.2400	22.2200
PD53366a	20	80	31+	true	50337604	85.4213	98.6900	94.6200	87.6900	79.4000	70.7000	61.9600	53.4000	45.3800	38.0200	31.4900	25.8300	21.0200	17.0100	13.7100	11.0300
PD53366b	20	80	61+	true	50337604	129.4881	99.4200	97.9800	95.1700	91.0500	85.9900	80.4600	74.7500	69.0200	63.3300	57.7300	52.2400	46.9300	41.8900	37.1600	32.7900
PD53367a	20	80	41+	true	50337604	88.7542	98.6800	94.8800	88.3600	80.5500	72.3000	63.8900	55.5100	47.4300	39.9900	33.3200	27.5100	22.5300	18.3500	14.8700	12.0400
PD53367b	20	80	61+	true	50337604	142.0230	99.3800	98.3600	96.3600	93.1700	88.9900	84.1700	79.0200	73.7300	68.4600	63.2200	58.0200	52.9500	48.0400	43.3200	38.8400
PD53368a	20	80	41+	true	50337604	106.6484	98.8600	95.4900	89.6400	82.4300	74.7400	67.0300	59.6400	52.6900	46.2900	40.4800	35.2800	30.6500	26.6100	23.0800	20.0100
PD53368b	20	80	61+	true	50337604	135.0199	99.4600	98.2900	96.0300	92.4900	87.8700	82.5600	76.9600	71.2900	65.6700	60.1700	54.8100	49.6300	44.6600	39.9700	35.5700
PD53369a	20	80	41+	true	50337604	97.9148	98.8300	95.5400	89.7600	82.4100	74.4800	66.5600	58.8900	51.6400	44.9000	38.7400	33.2100	28.2800	23.9800	20.2500	17.0600
PD53369b	20	80	61+	true	50337604	140.5018	99.4800	98.3500	96.1500	92.7300	88.3500	83.3800	78.1500	72.8400	67.5500	62.2900	57.1200	52.0600	47.1600	42.4700	38.0600
