sample	TiTv_class	TiTv_meCA	fracH	oxoGHbias	symGT_CA	sym_ct_ga	sym_ag_tc	cvTi	GT_Ti	GT_meTi	level	art_oxH	predict
PD53354a	1.5100	2.1750	0.1875	0.0975	0.1050	0.0625	0.0325	0.0400	0.6850	0.6700	-1	0.6700	0
PD53354b	1.4350	2.1450	0.1775	0.3050	0.3050	0.1175	0.0300	0.0575	0.8275	0.7825	-1	0.8150	1
PD53355a	1.5950	2.1325	0.2075	0.1275	0.1450	0.0725	0.0225	0.0400	0.5925	0.5800	-1	0.5900	0
PD53355b	1.4350	2.0700	0.1825	0.1225	0.1225	0.1100	0.0225	0.0525	0.7475	0.6850	-1	0.7375	0
PD53355c	1.4425	2.1325	0.1925	0.1375	0.1375	0.0975	0.0275	0.0500	0.7625	0.7125	-1	0.7450	0
PD53356a	1.6450	2.1325	0.2375	0.1100	0.1100	0.0500	0.0150	0.0300	0.5550	0.5325	-1	0.5450	0
PD53356c	1.4325	2.1825	0.1775	0.1450	0.1450	0.0900	0.0250	0.0500	0.8150	0.7425	-1	0.7925	0.5000
PD53357a	1.4850	2.1675	0.1950	0.1100	0.1100	0.0925	0.0200	0.0500	0.7350	0.6750	-1	0.7150	0
PD53357b	1.4150	2.1200	0.1825	0.2825	0.2825	0.1150	0.0200	0.0600	0.8425	0.7825	-1	0.8225	1
PD53357c	1.4425	2.1475	0.1850	0.0775	0.0775	0.0850	0.0250	0.0450	0.7550	0.7025	-1	0.7350	0
PD53357d	1.4200	2.1575	0.1875	0.1900	0.1900	0.1100	0.0225	0.0600	0.8225	0.7625	-1	0.8025	0.5000
PD53357e	1.4775	2.1325	0.1775	0.0600	0.0625	0.0825	0.0200	0.0400	0.6925	0.6725	-1	0.6750	0
PD53358a	1.4600	2.1250	0.1925	0.0775	0.0775	0.0800	0.0275	0.0425	0.7350	0.6800	-1	0.7175	0
PD53358b	1.4375	2.1175	0.1925	0.2700	0.2700	0.1125	0.0225	0.0550	0.7950	0.7450	-1	0.7825	0
PD53359a	1.4300	2.1100	0.1775	0.2500	0.2500	0.1000	0.0200	0.0600	0.8225	0.7450	-1	0.7950	0.5000
PD53359b	1.3875	2.1100	0.1825	0.1750	0.1750	0.1100	0.0225	0.0600	0.8325	0.7850	-1	0.8150	0.7500
PD53359c	1.3750	2.0775	0.1875	0.3525	0.3525	0.1250	0.0250	0.0600	0.8775	0.8300	-1	0.8600	1
PD53360a	1.4400	2.0750	0.1875	0.0725	0.0725	0.0925	0.0200	0.0500	0.7325	0.6750	-1	0.7125	0
PD53361a	1.4625	2.0550	0.1800	0.0800	0.0800	0.0600	0.0250	0.0400	0.7075	0.6450	-1	0.6900	0
PD53361b	1.3975	2.0900	0.1925	0.2400	0.2400	0.0900	0.0300	0.0500	0.8325	0.7850	-1	0.8150	0.7500
PD53362a	1.5275	2.1350	0.1925	0.0700	0.0700	0.0500	0.0200	0.0300	0.6625	0.6125	-1	0.6500	0
PD53362b	1.5175	2.1350	0.1875	0.0950	0.0950	0.0875	0.0200	0.0400	0.6700	0.6325	-1	0.6625	0
PD53363a	1.4550	2.1250	0.1775	0.1000	0.1000	0.0800	0.0200	0.0450	0.7500	0.6900	-1	0.7325	0
PD53363b	1.4050	2.0750	0.1875	0.2025	0.2025	0.1025	0.0300	0.0500	0.8075	0.7525	-1	0.7875	0.2500
PD53364a	1.7225	2.1650	0.2375	0.0425	0.0425	0.0400	0.0075	0.0200	0.4975	0.4725	-1	0.4925	0
PD53364b	1.4175	2.1375	0.1975	0.3125	0.3125	0.1100	0.0200	0.0600	0.8525	0.8025	-1	0.8325	1
PD53364c	1.5150	2.1250	0.1875	0.0375	0.0375	0.0700	0.0200	0.0400	0.6650	0.6300	-1	0.6550	0
PD53365a	1.4750	2.0900	0.1675	0.0725	0.0825	0.0800	0.0200	0.0400	0.6900	0.6700	-1	0.6750	0
PD53365b	1.4125	2.1100	0.1775	0.1950	0.1950	0.1075	0.0225	0.0550	0.8200	0.7550	-1	0.8000	0.5000
PD53366a	1.5000	2.1350	0.1875	0.0525	0.0600	0.0725	0.0150	0.0400	0.6650	0.6400	-1	0.6500	0
PD53366b	1.3875	2.0800	0.1875	0.2700	0.2700	0.1350	0.0250	0.0700	0.8575	0.7875	-1	0.8350	1
PD53367a	1.4725	2.1375	0.1875	0.0450	0.0450	0.0700	0.0250	0.0375	0.7000	0.6650	-1	0.6875	0
PD53367b	1.4350	2.1300	0.1875	0.2725	0.2725	0.1075	0.0200	0.0550	0.8150	0.7650	-1	0.8025	0.5000
PD53368a	1.5200	2.1700	0.1875	0.1500	0.1500	0.0900	0.0200	0.0400	0.6875	0.6550	-1	0.6825	0
PD53368b	1.4750	2.1250	0.1775	0.0500	0.0500	0.0825	0.0200	0.0425	0.7050	0.6600	-1	0.6950	0
PD53369a	1.4550	2.0975	0.1925	0.0725	0.0725	0.0850	0.0225	0.0450	0.7200	0.6775	-1	0.7050	0
PD53369b	1.4250	2.1175	0.1825	0.0650	0.0650	0.0825	0.0300	0.0475	0.7600	0.7050	-1	0.7375	0
