sample_a	sample_b	n	exact	compat	combn
PD53330a	PD53357b	95	0.3579	0.4526	0.8105
PD53330a	PD53357c	92	0.3587	0.4457	0.8043
PD53330a	PD53357d	93	0.3548	0.4516	0.8065
PD53330a	PD53357e	89	0.3708	0.4270	0.7978
PD53330a	PD53358a	89	0.3483	0.4944	0.8427
PD53330a	PD53358b	95	0.3684	0.4947	0.8632
PD53330a	PD53359a	94	0.3085	0.5106	0.8191
PD53330a	PD53359b	95	0.3579	0.5263	0.8842
PD53330a	PD53359c	89	0.3146	0.5056	0.8202
PD53330a	PD53360a	95	0.4316	0.5053	0.9368
PD53330a	PD53361a	93	0.4624	0.4194	0.8817
PD53330a	PD53361b	94	0.4574	0.4255	0.8830
PD53330a	PD53362a	94	0.2872	0.5426	0.8298
PD53330a	PD53362b	95	0.2842	0.5474	0.8316
PD53330a	PD53363a	95	0.4105	0.4737	0.8842
PD53330a	PD53363b	95	0.4105	0.4737	0.8842
PD53330a	PD53364a	94	0.3936	0.4468	0.8404
PD53330a	PD53364b	95	0.3789	0.5158	0.8947
PD53330a	PD53364c	92	0.3913	0.5000	0.8913
PD53330a	PD53365a	90	0.4556	0.4000	0.8556
PD53330a	PD53365b	93	0.4839	0.3656	0.8495
PD53330a	PD53366a	95	0.3789	0.4737	0.8526
PD53330a	PD53366b	95	0.3789	0.4737	0.8526
PD53330a	PD53367a	94	0.4894	0.3830	0.8723
PD53330a	PD53367b	95	0.4842	0.3895	0.8737
PD53330a	PD53368a	89	0.2921	0.5955	0.8876
PD53330a	PD53368b	95	0.3053	0.5895	0.8947
PD53330a	PD53369a	93	0.3333	0.5484	0.8817
PD53330a	PD53369b	95	0.3368	0.5474	0.8842
PD53330a	PD70589a	90	0.4333	0.4444	0.8778
PD53330a	PD70963a	93	0.3333	0.5269	0.8602
PD53330a	PD70963b	92	0.3478	0.5217	0.8696
PD53330a	PD70964a	87	0.3448	0.5402	0.8851
PD53330a	PD70964b	90	0.3667	0.5333	0.9000
PD53330a	PD70964c	92	0.3478	0.5435	0.8913
PD53330a	PD70965a	90	0.4444	0.4667	0.9111
PD53330a	PD70965b	94	0.4255	0.4894	0.9149
PD53330a	PD70966a	94	0.4574	0.4149	0.8723
PD53330a	PD70966c	89	0.4494	0.4157	0.8652
PD53330a	PD70967a	89	0.3146	0.5393	0.8539
PD53330a	PD70967b	95	0.3053	0.5579	0.8632
PD53330a	PD70968a	94	0.5106	0.3830	0.8936
PD53330a	PD70968b	94	0.5426	0.3723	0.9149
PD53330a	PD70968c	95	0.5263	0.3684	0.8947
PD53330a	PD70969a	91	0.4286	0.5055	0.9341
