sample_a	sample_b	n	exact	compat	combn
PD53332c	PD53344d	92	0.4022	0.4130	0.8152
PD53332c	PD53344e	92	0.4022	0.4022	0.8043
PD53332c	PD53344f	89	0.3820	0.4494	0.8315
PD53332c	PD53344l	93	0.4086	0.3978	0.8065
PD53332c	PD53345a	91	0.2308	0.5824	0.8132
PD53332c	PD53345b	94	0.2234	0.5957	0.8191
PD53332c	PD53346a	93	0.5054	0.3978	0.9032
PD53332c	PD53346b	94	0.5000	0.4043	0.9043
PD53332c	PD53347a	93	0.4409	0.3763	0.8172
PD53332c	PD53347b	94	0.3511	0.5106	0.8617
PD53332c	PD53347c	87	0.3793	0.4598	0.8391
PD53332c	PD53348a	91	0.2637	0.5275	0.7912
PD53332c	PD53348b	94	0.2660	0.5426	0.8085
PD53332c	PD53349a	91	0.3626	0.3736	0.7363
PD53332c	PD53349b	93	0.2796	0.5161	0.7957
PD53332c	PD53349c	94	0.3511	0.3936	0.7447
PD53332c	PD53349d	89	0.3146	0.4607	0.7753
PD53332c	PD53349e	91	0.2967	0.4835	0.7802
PD53332c	PD53349f	91	0.3516	0.3956	0.7473
PD53332c	PD53350a	92	0.5543	0.3478	0.9022
PD53332c	PD53350b	94	0.5213	0.3936	0.9149
PD53332c	PD53350c	93	0.5484	0.3441	0.8925
PD53332c	PD53350d	93	0.5269	0.3871	0.9140
PD53332c	PD53350e	94	0.5213	0.3936	0.9149
PD53332c	PD53350f	87	0.5172	0.3793	0.8966
PD53332c	PD53351a	91	0.4725	0.4066	0.8791
PD53332c	PD53351b	94	0.4681	0.4255	0.8936
PD53332c	PD53352a	94	0.4681	0.3936	0.8617
PD53332c	PD53352b	94	0.4043	0.4894	0.8936
PD53332c	PD53352c	94	0.4574	0.4149	0.8723
PD53332c	PD53352d	87	0.4368	0.4368	0.8736
PD53332c	PD53352e	92	0.4565	0.4130	0.8696
PD53332c	PD53353a	94	0.3085	0.5000	0.8085
PD53332c	PD53353b	94	0.3085	0.5000	0.8085
PD53332c	PD53354a	94	0.3511	0.5638	0.9149
PD53332c	PD53354b	94	0.3511	0.5638	0.9149
PD53332c	PD53355a	92	0.3804	0.4348	0.8152
PD53332c	PD53355b	94	0.3511	0.5213	0.8723
PD53332c	PD53355c	88	0.3523	0.5114	0.8636
PD53332c	PD53356a	92	0.3370	0.4348	0.7717
PD53332c	PD53356c	93	0.3333	0.4731	0.8065
PD53332c	PD53357a	93	0.3656	0.4301	0.7957
PD53332c	PD53357b	94	0.3298	0.4787	0.8085
PD53332c	PD53357c	91	0.3407	0.4615	0.8022
PD53332c	PD53357d	92	0.3587	0.4348	0.7935
PD53332c	PD53357e	88	0.3636	0.4318	0.7955
PD53332c	PD53358a	88	0.4886	0.3636	0.8523
PD53332c	PD53358b	94	0.4574	0.4149	0.8723
PD53332c	PD53359a	93	0.3978	0.3118	0.7097
PD53332c	PD53359b	94	0.3298	0.4681	0.7979
PD53332c	PD53359c	88	0.3864	0.3295	0.7159
PD53332c	PD53360a	94	0.2979	0.5745	0.8723
PD53332c	PD53361a	92	0.4130	0.4348	0.8478
PD53332c	PD53361b	93	0.4194	0.4301	0.8495
PD53332c	PD53362a	93	0.4194	0.4194	0.8387
PD53332c	PD53362b	94	0.4149	0.4255	0.8404
PD53332c	PD53363a	94	0.4255	0.4574	0.8830
PD53332c	PD53363b	94	0.4255	0.4574	0.8830
PD53332c	PD53364a	93	0.5914	0.3118	0.9032
PD53332c	PD53364b	94	0.5426	0.3936	0.9362
PD53332c	PD53364c	91	0.5604	0.3736	0.9341
PD53332c	PD53365a	89	0.4157	0.4270	0.8427
PD53332c	PD53365b	92	0.4022	0.4565	0.8587
PD53332c	PD53366a	94	0.3511	0.5426	0.8936
PD53332c	PD53366b	94	0.3511	0.5426	0.8936
PD53332c	PD53367a	93	0.3548	0.4946	0.8495
PD53332c	PD53367b	94	0.3511	0.5000	0.8511
PD53332c	PD53368a	88	0.4318	0.4432	0.8750
PD53332c	PD53368b	94	0.4149	0.4681	0.8830
PD53332c	PD53369a	92	0.3587	0.4674	0.8261
PD53332c	PD53369b	94	0.3617	0.4681	0.8298
PD53332c	PD70589a	89	0.5730	0.3258	0.8989
PD53332c	PD70963a	92	0.3913	0.4457	0.8370
PD53332c	PD70963b	91	0.3846	0.4835	0.8681
PD53332c	PD70964a	86	0.3721	0.4419	0.8140
PD53332c	PD70964b	89	0.3483	0.4831	0.8315
PD53332c	PD70964c	91	0.3516	0.4725	0.8242
PD53332c	PD70965a	89	0.4157	0.4494	0.8652
PD53332c	PD70965b	93	0.3978	0.4731	0.8710
PD53332c	PD70966a	93	0.5484	0.3548	0.9032
PD53332c	PD70966c	88	0.5455	0.3750	0.9205
PD53332c	PD70967a	88	0.3750	0.4545	0.8295
PD53332c	PD70967b	94	0.3617	0.4681	0.8298
PD53332c	PD70968a	93	0.4624	0.4086	0.8710
PD53332c	PD70968b	93	0.4086	0.4731	0.8817
PD53332c	PD70968c	94	0.4787	0.3723	0.8511
PD53332c	PD70969a	90	0.3889	0.4333	0.8222
PD53332c	PD70969b	94	0.3830	0.4362	0.8191
PD53332c	PD70970a	91	0.3407	0.5495	0.8901
PD53332c	PD70970b	94	0.3511	0.5426	0.8936
PD53332c	PD70971a	88	0.3750	0.3864	0.7614
PD53332c	PD70971b	92	0.3152	0.4783	0.7935
PD53332c	PD70971c	92	0.3696	0.3587	0.7283
PD53332c	PD70972a	93	0.4516	0.4839	0.9355
PD53332c	PD70972b	88	0.4318	0.5000	0.9318
PD53332c	PD70972c	89	0.4607	0.4719	0.9326
PD53332c	PD70973a	93	0.5699	0.3226	0.8925
PD53332c	PD70973b	91	0.5604	0.3297	0.8901
PD53332c	PD70974a	91	0.3407	0.4396	0.7802
PD53332c	PD70974b	93	0.3226	0.4731	0.7957
PD53332c	PD70974c	94	0.3511	0.4149	0.7660
PD53332c	PD70975a	86	0.4302	0.3488	0.7791
PD53332c	PD70975b	93	0.4409	0.3548	0.7957
PD53332c	PD70975c	93	0.4194	0.3656	0.7849
PD53332c	PD70976a	93	0.4839	0.4086	0.8925
PD53332c	PD70976b	93	0.4839	0.4086	0.8925
PD53332c	PD70976c	92	0.4783	0.4130	0.8913
PD53332c	PD70978a	93	0.3656	0.4516	0.8172
PD53332c	PD70980a	92	0.3804	0.4457	0.8261
PD53332c	PD70980c	90	0.3889	0.4556	0.8444
PD53332c	PD70981a	91	0.3956	0.3956	0.7912
PD53332c	PD70982a	93	0.5054	0.3548	0.8602
PD53332c	PD70982c	94	0.5213	0.3298	0.8511
PD53332c	PD70983a	93	0.4194	0.3763	0.7957
PD53332c	PD70984a	92	0.3587	0.3913	0.7500
PD53332c	PD70985a	90	0.5444	0.3556	0.9000
PD53332c	PD70985c	89	0.5506	0.3483	0.8989
PD53332c	PD70986a	88	0.3864	0.4205	0.8068
PD53332c	PD70986c	93	0.3978	0.3978	0.7957
PD53332c	PD70986d	93	0.3978	0.3978	0.7957
PD53332c	PD70987a	93	0.3871	0.3978	0.7849
PD53332d	PD53332e	91	1.0000	0.0000	1.0000
PD53332d	PD53333a	94	0.4043	0.4681	0.8723
PD53332d	PD53333b	93	0.3978	0.4839	0.8817
PD53332d	PD53333c	93	0.4086	0.4731	0.8817
PD53332d	PD53333d	93	0.4086	0.4624	0.8710
PD53332d	PD53333e	93	0.4086	0.4731	0.8817
PD53332d	PD53333f	92	0.4022	0.4783	0.8804
PD53332d	PD53334a	94	0.4362	0.4574	0.8936
PD53332d	PD53334b	94	0.4362	0.4574	0.8936
PD53332d	PD53335a	93	0.5376	0.3548	0.8925
PD53332d	PD53335b	94	0.4787	0.4149	0.8936
PD53332d	PD53335c	92	0.5326	0.3696	0.9022
PD53332d	PD53335d	94	0.5426	0.3511	0.8936
PD53332d	PD53335e	85	0.5294	0.3882	0.9176
PD53332d	PD53336a	94	0.3936	0.4362	0.8298
PD53332d	PD53336c	93	0.4194	0.4086	0.8280
PD53332d	PD53336d	93	0.4194	0.4086	0.8280
PD53332d	PD53336e	93	0.4194	0.4086	0.8280
PD53332d	PD53336f	92	0.3804	0.4565	0.8370
PD53332d	PD53336l	92	0.3696	0.4457	0.8152
PD53332d	PD53337a	94	0.3830	0.4574	0.8404
PD53332d	PD53337b	94	0.3830	0.4574	0.8404
PD53332d	PD53337c	94	0.3830	0.4574	0.8404
PD53332d	PD53338a	93	0.5484	0.3763	0.9247
PD53332d	PD53338b	94	0.5319	0.3936	0.9255
PD53332d	PD53339a	94	0.3723	0.5426	0.9149
PD53332d	PD53339b	94	0.3723	0.5426	0.9149
PD53332d	PD53340a	94	0.3723	0.5426	0.9149
PD53332d	PD53341a	92	0.4239	0.5000	0.9239
PD53332d	PD53341b	92	0.4348	0.4891	0.9239
PD53332d	PD53342a	94	0.3936	0.4894	0.8830
PD53332d	PD53342b	94	0.3936	0.4894	0.8830
PD53332d	PD53343a	94	0.5000	0.3936	0.8936
PD53332d	PD53343b	91	0.4945	0.3956	0.8901
PD53332d	PD53343c	90	0.5111	0.3778	0.8889
PD53332d	PD53343d	94	0.5000	0.3936	0.8936
PD53332d	PD53343e	94	0.5000	0.3936	0.8936
PD53332d	PD53343f	94	0.5000	0.3936	0.8936
PD53332d	PD53343g	92	0.5109	0.3913	0.9022
PD53332d	PD53343h	93	0.4946	0.3978	0.8925
PD53332d	PD53343i	92	0.5000	0.3913	0.8913
PD53332d	PD53343j	92	0.5000	0.3913	0.8913
PD53332d	PD53343k	82	0.5366	0.3537	0.8902
PD53332d	PD53344a	93	0.3871	0.4516	0.8387
PD53332d	PD53344c	93	0.3871	0.4516	0.8387
PD53332d	PD53344d	92	0.3913	0.4457	0.8370
PD53332d	PD53344e	92	0.3913	0.4348	0.8261
PD53332d	PD53344f	89	0.4157	0.4382	0.8539
PD53332d	PD53344l	93	0.3978	0.4301	0.8280
PD53332d	PD53345a	91	0.3077	0.5165	0.8242
PD53332d	PD53345b	94	0.3085	0.5213	0.8298
PD53332d	PD53346a	93	0.5161	0.4194	0.9355
PD53332d	PD53346b	94	0.5106	0.4255	0.9362
PD53332d	PD53347a	93	0.4409	0.4516	0.8925
PD53332d	PD53347b	94	0.3830	0.5213	0.9043
PD53332d	PD53347c	87	0.3793	0.5172	0.8966
PD53332d	PD53348a	91	0.3077	0.5385	0.8462
PD53332d	PD53348b	94	0.3085	0.5532	0.8617
PD53332d	PD53349a	91	0.3516	0.4066	0.7582
PD53332d	PD53349b	93	0.3011	0.5054	0.8065
PD53332d	PD53349c	94	0.3404	0.4255	0.7660
PD53332d	PD53349d	89	0.3258	0.4607	0.7865
PD53332d	PD53349e	91	0.3077	0.4835	0.7912
PD53332d	PD53349f	91	0.3407	0.4286	0.7692
PD53332d	PD53350a	92	0.5435	0.4130	0.9565
PD53332d	PD53350b	94	0.5213	0.4468	0.9681
PD53332d	PD53350c	93	0.5376	0.4086	0.9462
PD53332d	PD53350d	92	0.5217	0.4457	0.9674
PD53332d	PD53350e	93	0.5161	0.4516	0.9677
PD53332d	PD53350f	87	0.5057	0.4483	0.9540
PD53332d	PD53351a	91	0.5165	0.3736	0.8901
PD53332d	PD53351b	94	0.5213	0.3830	0.9043
PD53332d	PD53352a	94	0.4787	0.4362	0.9149
PD53332d	PD53352b	94	0.4468	0.4894	0.9362
PD53332d	PD53352c	94	0.4681	0.4574	0.9255
PD53332d	PD53352d	87	0.4598	0.4713	0.9310
PD53332d	PD53352e	92	0.4674	0.4565	0.9239
PD53332d	PD53353a	94	0.3298	0.5106	0.8404
PD53332d	PD53353b	94	0.3298	0.5106	0.8404
PD53332d	PD53354a	94	0.3404	0.5851	0.9255
PD53332d	PD53354b	94	0.3404	0.5851	0.9255
PD53332d	PD53355a	92	0.4348	0.4022	0.8370
PD53332d	PD53355b	94	0.4043	0.4894	0.8936
PD53332d	PD53355c	88	0.4091	0.4773	0.8864
PD53332d	PD53356a	92	0.2826	0.5217	0.8043
PD53332d	PD53356c	93	0.3011	0.5376	0.8387
PD53332d	PD53357a	93	0.3871	0.4516	0.8387
PD53332d	PD53357b	94	0.3617	0.4787	0.8404
PD53332d	PD53357c	91	0.3736	0.4615	0.8352
PD53332d	PD53357d	92	0.3804	0.4565	0.8370
PD53332d	PD53357e	88	0.3864	0.4545	0.8409
PD53332d	PD53358a	88	0.4318	0.4205	0.8523
PD53332d	PD53358b	94	0.4149	0.4574	0.8723
PD53332d	PD53359a	93	0.3871	0.3548	0.7419
PD53332d	PD53359b	94	0.3511	0.4681	0.8191
PD53332d	PD53359c	88	0.3864	0.3636	0.7500
PD53332d	PD53360a	94	0.3511	0.5319	0.8830
PD53332d	PD53361a	92	0.4457	0.4239	0.8696
PD53332d	PD53361b	93	0.4516	0.4194	0.8710
PD53332d	PD53362a	93	0.4194	0.4409	0.8602
PD53332d	PD53362b	94	0.4149	0.4468	0.8617
PD53332d	PD53363a	94	0.4468	0.4468	0.8936
PD53332d	PD53363b	94	0.4468	0.4468	0.8936
PD53332d	PD53364a	93	0.5591	0.3763	0.9355
PD53332d	PD53364b	94	0.5213	0.4255	0.9468
PD53332d	PD53364c	91	0.5385	0.4066	0.9451
PD53332d	PD53365a	89	0.3933	0.4831	0.8764
PD53332d	PD53365b	92	0.4239	0.4565	0.8804
PD53332d	PD53366a	94	0.3617	0.5638	0.9255
PD53332d	PD53366b	94	0.3617	0.5638	0.9255
PD53332d	PD53367a	93	0.3226	0.5484	0.8710
PD53332d	PD53367b	94	0.3191	0.5532	0.8723
PD53332d	PD53368a	89	0.4157	0.4719	0.8876
PD53332d	PD53368b	94	0.4149	0.4787	0.8936
PD53332d	PD53369a	92	0.3478	0.5109	0.8587
PD53332d	PD53369b	94	0.3511	0.5106	0.8617
PD53332d	PD70589a	89	0.5169	0.4045	0.9213
PD53332d	PD70963a	92	0.3913	0.4674	0.8587
PD53332d	PD70963b	91	0.3956	0.4835	0.8791
PD53332d	PD70964a	87	0.3678	0.4713	0.8391
PD53332d	PD70964b	89	0.3596	0.4831	0.8427
PD53332d	PD70964c	91	0.3516	0.4945	0.8462
PD53332d	PD70965a	89	0.4157	0.4719	0.8876
PD53332d	PD70965b	93	0.3978	0.4946	0.8925
PD53332d	PD70966a	93	0.5161	0.4086	0.9247
PD53332d	PD70966c	88	0.5227	0.4205	0.9432
PD53332d	PD70967a	88	0.4205	0.4318	0.8523
PD53332d	PD70967b	94	0.4043	0.4468	0.8511
PD53332d	PD70968a	93	0.4946	0.3978	0.8925
PD53332d	PD70968b	93	0.4731	0.4194	0.8925
PD53332d	PD70968c	94	0.5106	0.3617	0.8723
PD53332d	PD70969a	90	0.4000	0.4556	0.8556
PD53332d	PD70969b	94	0.3830	0.4681	0.8511
PD53332d	PD70970a	91	0.3846	0.5165	0.9011
PD53332d	PD70970b	94	0.3936	0.5106	0.9043
PD53332d	PD70971a	88	0.3523	0.4432	0.7955
PD53332d	PD70971b	92	0.3370	0.4783	0.8152
PD53332d	PD70971c	92	0.3478	0.4130	0.7609
PD53332d	PD70972a	93	0.4624	0.4731	0.9355
PD53332d	PD70972b	88	0.4318	0.5000	0.9318
PD53332d	PD70972c	89	0.4607	0.4719	0.9326
PD53332d	PD70973a	93	0.5806	0.3333	0.9140
PD53332d	PD70973b	91	0.5714	0.3407	0.9121
PD53332d	PD70974a	91	0.3297	0.4615	0.7912
PD53332d	PD70974b	93	0.3118	0.4946	0.8065
PD53332d	PD70974c	94	0.3191	0.4574	0.7766
PD53332d	PD70975a	87	0.4253	0.3908	0.8161
PD53332d	PD70975b	93	0.4409	0.3871	0.8280
PD53332d	PD70975c	93	0.4194	0.3978	0.8172
PD53332d	PD70976a	93	0.4731	0.4516	0.9247
PD53332d	PD70976b	93	0.4731	0.4516	0.9247
PD53332d	PD70976c	92	0.4674	0.4565	0.9239
PD53332d	PD70978a	93	0.3333	0.5161	0.8495
PD53332d	PD70980a	92	0.3696	0.4891	0.8587
PD53332d	PD70980c	91	0.3736	0.4945	0.8681
PD53332d	PD70981a	91	0.3956	0.4176	0.8132
PD53332d	PD70982a	93	0.5054	0.3871	0.8925
PD53332d	PD70982c	94	0.5213	0.3723	0.8936
PD53332d	PD70983a	93	0.3978	0.4194	0.8172
PD53332d	PD70984a	93	0.3441	0.4301	0.7742
PD53332d	PD70985a	90	0.5333	0.4222	0.9556
PD53332d	PD70985c	89	0.5281	0.4270	0.9551
PD53332d	PD70986a	88	0.3864	0.4545	0.8409
PD53332d	PD70986c	93	0.3978	0.4301	0.8280
PD53332d	PD70986d	93	0.3978	0.4301	0.8280
PD53332d	PD70987a	93	0.4086	0.4194	0.8280
PD53332e	PD53333a	92	0.4022	0.4674	0.8696
PD53332e	PD53333b	91	0.4066	0.4725	0.8791
PD53332e	PD53333c	91	0.4066	0.4725	0.8791
PD53332e	PD53333d	92	0.4022	0.4674	0.8696
PD53332e	PD53333e	91	0.4066	0.4725	0.8791
PD53332e	PD53333f	90	0.4111	0.4667	0.8778
PD53332e	PD53334a	92	0.4348	0.4565	0.8913
PD53332e	PD53334b	92	0.4348	0.4565	0.8913
PD53332e	PD53335a	91	0.5275	0.3626	0.8901
PD53332e	PD53335b	92	0.4891	0.4022	0.8913
PD53332e	PD53335c	90	0.5333	0.3667	0.9000
PD53332e	PD53335d	92	0.5326	0.3587	0.8913
PD53332e	PD53335e	82	0.5244	0.3902	0.9146
PD53332e	PD53336a	92	0.3804	0.4457	0.8261
PD53332e	PD53336c	92	0.4022	0.4239	0.8261
PD53332e	PD53336d	92	0.4022	0.4239	0.8261
PD53332e	PD53336e	92	0.4022	0.4239	0.8261
PD53332e	PD53336f	90	0.3667	0.4667	0.8333
PD53332e	PD53336l	90	0.3667	0.4444	0.8111
PD53332e	PD53337a	92	0.3804	0.4783	0.8587
PD53332e	PD53337b	92	0.3804	0.4783	0.8587
PD53332e	PD53337c	92	0.3804	0.4783	0.8587
PD53332e	PD53338a	91	0.5495	0.3846	0.9341
PD53332e	PD53338b	92	0.5326	0.4022	0.9348
PD53332e	PD53339a	92	0.3587	0.5543	0.9130
PD53332e	PD53339b	92	0.3587	0.5543	0.9130
PD53332e	PD53340a	92	0.3587	0.5543	0.9130
PD53332e	PD53341a	90	0.4222	0.5000	0.9222
PD53332e	PD53341b	90	0.4333	0.4889	0.9222
PD53332e	PD53342a	92	0.4022	0.4783	0.8804
PD53332e	PD53342b	92	0.4022	0.4783	0.8804
PD53332e	PD53343a	92	0.5000	0.3913	0.8913
PD53332e	PD53343b	89	0.4944	0.3933	0.8876
PD53332e	PD53343c	89	0.5056	0.3820	0.8876
PD53332e	PD53343d	92	0.5000	0.3913	0.8913
PD53332e	PD53343e	92	0.5000	0.3913	0.8913
PD53332e	PD53343f	92	0.5000	0.3913	0.8913
PD53332e	PD53343g	90	0.5111	0.3889	0.9000
PD53332e	PD53343h	91	0.4945	0.3956	0.8901
PD53332e	PD53343i	91	0.4945	0.3956	0.8901
PD53332e	PD53343j	90	0.5000	0.3889	0.8889
PD53332e	PD53343k	81	0.5309	0.3580	0.8889
PD53332e	PD53344a	91	0.3626	0.4725	0.8352
PD53332e	PD53344c	91	0.3626	0.4725	0.8352
PD53332e	PD53344d	90	0.3667	0.4667	0.8333
PD53332e	PD53344e	90	0.3667	0.4556	0.8222
PD53332e	PD53344f	88	0.3977	0.4545	0.8523
PD53332e	PD53344l	91	0.3736	0.4505	0.8242
PD53332e	PD53345a	89	0.3034	0.5169	0.8202
PD53332e	PD53345b	92	0.3043	0.5217	0.8261
PD53332e	PD53346a	92	0.5109	0.4239	0.9348
PD53332e	PD53346b	92	0.5109	0.4239	0.9348
PD53332e	PD53347a	92	0.4457	0.4457	0.8913
PD53332e	PD53347b	92	0.3804	0.5217	0.9022
PD53332e	PD53347c	85	0.3765	0.5176	0.8941
PD53332e	PD53348a	89	0.3034	0.5506	0.8539
PD53332e	PD53348b	92	0.3043	0.5652	0.8696
PD53332e	PD53349a	89	0.3596	0.4045	0.7640
PD53332e	PD53349b	91	0.3077	0.5055	0.8132
PD53332e	PD53349c	92	0.3478	0.4239	0.7717
PD53332e	PD53349d	87	0.3333	0.4598	0.7931
PD53332e	PD53349e	89	0.3146	0.4831	0.7978
PD53332e	PD53349f	89	0.3483	0.4270	0.7753
PD53332e	PD53350a	90	0.5333	0.4222	0.9556
PD53332e	PD53350b	92	0.5109	0.4565	0.9674
PD53332e	PD53350c	91	0.5275	0.4176	0.9451
PD53332e	PD53350d	90	0.5111	0.4556	0.9667
PD53332e	PD53350e	91	0.5055	0.4615	0.9670
PD53332e	PD53350f	85	0.4941	0.4588	0.9529
PD53332e	PD53351a	91	0.5055	0.3846	0.8901
PD53332e	PD53351b	92	0.5217	0.3804	0.9022
PD53332e	PD53352a	92	0.4674	0.4457	0.9130
PD53332e	PD53352b	92	0.4348	0.5000	0.9348
PD53332e	PD53352c	92	0.4565	0.4674	0.9239
PD53332e	PD53352d	86	0.4535	0.4767	0.9302
PD53332e	PD53352e	90	0.4556	0.4667	0.9222
PD53332e	PD53353a	92	0.3370	0.5109	0.8478
PD53332e	PD53353b	92	0.3370	0.5109	0.8478
PD53332e	PD53354a	92	0.3370	0.5870	0.9239
PD53332e	PD53354b	92	0.3370	0.5870	0.9239
PD53332e	PD53355a	90	0.4333	0.4000	0.8333
PD53332e	PD53355b	92	0.4022	0.4891	0.8913
PD53332e	PD53355c	86	0.4070	0.4767	0.8837
PD53332e	PD53356a	91	0.2747	0.5275	0.8022
PD53332e	PD53356c	91	0.2857	0.5495	0.8352
PD53332e	PD53357a	91	0.3736	0.4725	0.8462
PD53332e	PD53357b	92	0.3478	0.5000	0.8478
PD53332e	PD53357c	89	0.3596	0.4831	0.8427
PD53332e	PD53357d	90	0.3667	0.4778	0.8444
PD53332e	PD53357e	87	0.3793	0.4713	0.8506
PD53332e	PD53358a	86	0.4302	0.4302	0.8605
PD53332e	PD53358b	92	0.4130	0.4674	0.8804
PD53332e	PD53359a	91	0.3626	0.3736	0.7363
PD53332e	PD53359b	92	0.3478	0.4674	0.8152
PD53332e	PD53359c	86	0.3605	0.3837	0.7442
PD53332e	PD53360a	92	0.3370	0.5435	0.8804
PD53332e	PD53361a	90	0.4444	0.4333	0.8778
PD53332e	PD53361b	91	0.4505	0.4286	0.8791
PD53332e	PD53362a	92	0.4239	0.4457	0.8696
PD53332e	PD53362b	92	0.4239	0.4457	0.8696
PD53332e	PD53363a	92	0.4565	0.4348	0.8913
PD53332e	PD53363b	92	0.4565	0.4348	0.8913
PD53332e	PD53364a	91	0.5385	0.3956	0.9341
PD53332e	PD53364b	92	0.5217	0.4239	0.9457
PD53332e	PD53364c	90	0.5333	0.4111	0.9444
PD53332e	PD53365a	87	0.3908	0.4828	0.8736
PD53332e	PD53365b	90	0.4111	0.4667	0.8778
PD53332e	PD53366a	92	0.3587	0.5652	0.9239
PD53332e	PD53366b	92	0.3587	0.5652	0.9239
PD53332e	PD53367a	91	0.3297	0.5385	0.8681
PD53332e	PD53367b	92	0.3261	0.5435	0.8696
PD53332e	PD53368a	86	0.4070	0.4767	0.8837
PD53332e	PD53368b	92	0.4130	0.4783	0.8913
PD53332e	PD53369a	90	0.3444	0.5111	0.8556
PD53332e	PD53369b	92	0.3478	0.5109	0.8587
PD53332e	PD70589a	87	0.5287	0.3908	0.9195
PD53332e	PD70963a	90	0.4000	0.4556	0.8556
PD53332e	PD70963b	89	0.4045	0.4719	0.8764
PD53332e	PD70964a	84	0.3810	0.4524	0.8333
PD53332e	PD70964b	87	0.3793	0.4598	0.8391
PD53332e	PD70964c	89	0.3708	0.4719	0.8427
PD53332e	PD70965a	87	0.4368	0.4483	0.8851
PD53332e	PD70965b	91	0.4176	0.4725	0.8901
PD53332e	PD70966a	91	0.5275	0.3956	0.9231
PD53332e	PD70966c	86	0.5349	0.4070	0.9419
PD53332e	PD70967a	86	0.4302	0.4186	0.8488
PD53332e	PD70967b	92	0.4130	0.4348	0.8478
PD53332e	PD70968a	91	0.5055	0.3846	0.8901
PD53332e	PD70968b	91	0.4835	0.4066	0.8901
PD53332e	PD70968c	92	0.5217	0.3587	0.8804
PD53332e	PD70969a	88	0.4091	0.4545	0.8636
PD53332e	PD70969b	92	0.3913	0.4674	0.8587
PD53332e	PD70970a	89	0.3820	0.5169	0.8989
PD53332e	PD70970b	92	0.3913	0.5109	0.9022
PD53332e	PD70971a	86	0.3488	0.4651	0.8140
PD53332e	PD70971b	90	0.3333	0.5000	0.8333
PD53332e	PD70971c	90	0.3444	0.4333	0.7778
PD53332e	PD70972a	91	0.4725	0.4615	0.9341
PD53332e	PD70972b	86	0.4419	0.4884	0.9302
PD53332e	PD70972c	87	0.4713	0.4598	0.9310
PD53332e	PD70973a	91	0.5714	0.3407	0.9121
PD53332e	PD70973b	89	0.5618	0.3483	0.9101
PD53332e	PD70974a	89	0.3371	0.4494	0.7865
PD53332e	PD70974b	91	0.3187	0.4835	0.8022
PD53332e	PD70974c	92	0.3261	0.4457	0.7717
PD53332e	PD70975a	84	0.4048	0.4048	0.8095
PD53332e	PD70975b	91	0.4286	0.3956	0.8242
PD53332e	PD70975c	91	0.3956	0.4176	0.8132
PD53332e	PD70976a	91	0.4725	0.4505	0.9231
PD53332e	PD70976b	91	0.4725	0.4505	0.9231
PD53332e	PD70976c	90	0.4667	0.4556	0.9222
PD53332e	PD70978a	91	0.3297	0.5165	0.8462
PD53332e	PD70980a	90	0.3667	0.4889	0.8556
PD53332e	PD70980c	88	0.3750	0.4886	0.8636
PD53332e	PD70981a	89	0.3933	0.4157	0.8090
PD53332e	PD70982a	91	0.5055	0.3846	0.8901
PD53332e	PD70982c	92	0.5217	0.3696	0.8913
PD53332e	PD70983a	91	0.3736	0.4396	0.8132
PD53332e	PD70984a	90	0.3444	0.4333	0.7778
PD53332e	PD70985a	88	0.5227	0.4318	0.9545
PD53332e	PD70985c	87	0.5172	0.4368	0.9540
PD53332e	PD70986a	86	0.3953	0.4535	0.8488
PD53332e	PD70986c	91	0.4066	0.4286	0.8352
PD53332e	PD70986d	91	0.4066	0.4286	0.8352
PD53332e	PD70987a	91	0.3956	0.4396	0.8352
PD53333a	PD53333b	94	0.9681	0.0319	1.0000
PD53333a	PD53333c	94	1.0000	0.0000	1.0000
PD53333a	PD53333d	94	1.0000	0.0000	1.0000
PD53333a	PD53333e	94	1.0000	0.0000	1.0000
PD53333a	PD53333f	93	0.9892	0.0108	1.0000
PD53333a	PD53334a	95	0.4947	0.4000	0.8947
PD53333a	PD53334b	95	0.4947	0.4000	0.8947
PD53333a	PD53335a	94	0.4043	0.4574	0.8617
PD53333a	PD53335b	95	0.3895	0.4842	0.8737
PD53333a	PD53335c	93	0.3871	0.4731	0.8602
PD53333a	PD53335d	95	0.3895	0.4737	0.8632
PD53333a	PD53335e	85	0.3765	0.5059	0.8824
PD53333a	PD53336a	95	0.4000	0.4526	0.8526
PD53333a	PD53336c	94	0.3723	0.4787	0.8511
PD53333a	PD53336d	94	0.3723	0.4787	0.8511
PD53333a	PD53336e	94	0.3723	0.4787	0.8511
PD53333a	PD53336f	93	0.4409	0.4194	0.8602
PD53333a	PD53336l	93	0.3763	0.4731	0.8495
PD53333a	PD53337a	95	0.3474	0.5368	0.8842
PD53333a	PD53337b	95	0.3474	0.5368	0.8842
PD53333a	PD53337c	95	0.3474	0.5368	0.8842
PD53333a	PD53338a	94	0.4468	0.4787	0.9255
PD53333a	PD53338b	95	0.4526	0.4737	0.9263
PD53333a	PD53339a	95	0.4632	0.4737	0.9368
PD53333a	PD53339b	95	0.4632	0.4737	0.9368
PD53333a	PD53340a	95	0.4737	0.4211	0.8947
PD53333a	PD53341a	93	0.4409	0.4731	0.9140
PD53333a	PD53341b	93	0.4409	0.4731	0.9140
PD53333a	PD53342a	95	0.3263	0.6000	0.9263
PD53333a	PD53342b	95	0.3263	0.6000	0.9263
